yyyymm,Index,E12,PE,D12,Y,vwret_DK,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,vwret,CRSP_SPvwx
197009,58.16572899765777,3.835810907243267,15.163867668195486,1.926611718275029,0.033122798,0.046769515,0.712914761,0.0612,0.0809,0.0939,0.068,0.037942419,0.0054,0.005128205,0.0228,0.0139,0.001057965,0.034702,0.033021
197010,57.047367473826554,3.800646183222657,15.009912715804225,1.9259760555149887,0.033760998,-0.018423239,0.717698284,0.0591,0.0803,0.0933,0.0693,0.036962491,0.0046,0.005102041,-0.0109,-0.0096,0.001043396,-0.009032,-0.011639
197011,59.61292714327014,3.780718519,15.76761847,1.9231966555426592,0.032261402814872074,0.050782406,0.682920072,0.0528,0.0805,0.0938,0.0637,0.035224928,0.0046,0.005076142,0.0791,0.0584,0.000885454,0.054387,0.048836
197012,64.09644023365433,3.721745168319234,17.22214642186282,1.9493720463419357,0.030413109358893894,0.061842303,0.646426358,0.0487,0.0764,0.0912,0.0648,0.031461707,0.0042,0.005050505,-0.0084,0.0372,0.0005352,0.058684,0.057358
197101,67.19477278331544,3.6539850706433366,18.389449186086804,1.9472795841049555,0.028979629,0.051302561255127714,0.624409902,0.0444,0.0736,0.0874,0.0612,0.03059313,0.0038,0,0.0506,0.0532,0.000541031,0.042828,0.0415
197102,68.38555350799389,3.611850322270334,18.93366208625394,1.9403454330164973,0.028373616,0.017226112159907547,0.617070423,0.037,0.0708,0.0839,0.0629,0.025801375,0.0033,0.002512563,-0.0163,-0.0366,0.000451454,0.013317,0.008152
197103,71.38489693366695,3.6201978517108953,19.71850706997427,1.9352845920922923,0.027110560850015914,0.04349919,0.633811383,0.0338,0.0721,0.0846,0.0593,0.026398845,0.003,0.002506266,0.0526,0.0258,0.000492719,0.039068,0.037624
197104,73.74737420448214,3.6287468886204812,20.323096779152387,1.938488553043744,0.026285526419812903,0.035281125,0.608654101,0.0386,0.0725,0.0845,0.0619,0.026556979,0.0028,0.0025,-0.0283,-0.0236,0.000307555,0.036965,0.035789
197105,70.83550392,3.643273483780375,19.44281817963593,1.9398031834083378,0.027384617542838514,-0.037093415,0.631409656,0.0414,0.0753,0.0862,0.0624,0.029722577,0.0029,0.004987531,-0.0006,-0.0161,0.000539276,-0.03715,-0.042138
197106,70.94488739260451,3.673574321072527,19.312223244170443,1.9390107146174826,0.027331225488978792,0.002905616,0.643221043,0.0475,0.0764,0.0875,0.0641,0.027278498,0.0037,0.007444169,-0.0159,0.0107,0.00092454,0.002439,0.001061
197107,67.91062787555656,3.6957110817816625,18.375524052821135,1.938436482323765,0.028543934034535368,-0.041002697,0.667730625,0.054,0.0764,0.0876,0.0643,0.025796321,0.004,0.002463054,0.003,-0.0025,0.000518434,-0.040827,-0.041901
197108,70.53893818575386,3.733938272161232,18.89129734994933,1.9394555600102212,0.027494822,0.04254031,0.638257597,0.0494,0.0759,0.0876,0.061,0.026781963,0.0047,0.002457003,0.0471,0.0554,0.002451223,0.042036,0.036549
197109,70.06313446555292,3.759021344290077,18.638663643657743,1.9365415894944595,0.027639950799611672,-0.004867456,0.64608483,0.0469,0.0744,0.0859,0.0598,0.027934417,0.0037,0,0.0204,-0.0102,0.000524264,-0.005038,-0.006387
197110,67.08676303652929,3.7856798883489553,17.721192761965877,1.9306365796499687,0.028778204406713158,-0.040440784,0.683194279,0.0446,0.0739,0.0848,0.0588,0.029243829,0.0037,0.00245098,0.0167,0.0282,0.000661936,-0.040129,-0.042015
197111,66.74491529,3.854351748011459,17.31676807123766,1.9236880576525408,0.028821492,-0.000778124,0.689489258,0.0422,0.0726,0.0838,0.0596,0.02945191,0.0037,0,-0.0047,0.0029,0.001866256,0.002898,-0.002029
197112,74.21374779373579,3.936619193,18.85215311853108,1.9493895763784572,0.026267229918053008,0.090553174,0.643900247,0.0401,0.0725,0.0838,0.0597,0.034023359,0.0037,0.004889976,0.0044,0.0223,0.001182984,0.08788,0.086486
197201,76.28894529572372,3.9875623149695105,19.13172491607997,1.949007803134561,0.025547709,0.027065755,0.635356973,0.0338,0.0719,0.0823,0.0606,0.033075117,0.0029,0,-0.0063,-0.0033,0.000494225,0.019088,0.017814
